,id,conversation_id,created_at,date,tweet,hashtags
10,1.25E+18,1.25E+18,1.59E+12,17-04-2020,"There will be no downtime of internet or mobile banking during #lockdown; banking operations to remain normal: RBI Governor

 http://www.sakaltimes.com 
#Sakal #SakalNews #viral #economy #SakalTimes #news #Corona #COVID #COVID2019india #Covid_19 #banks #coronavirus #lockdown #India","['#lockdown', '#sakal', '#sakalnews', '#viral', '#economy', '#sakaltimes', '#news', '#corona', '#covid', '#covid2019india', '#covid_19', '#banks', '#coronavirus', '#lockdown', '#india']"
11,1.25E+18,1.25E+18,1.59E+12,17-04-2020,"Can someone explain to me how the #Lockdown stops covid-19,in the long run !!??
When we open our country on May 4th ( or some other date), What stops an Italian or an American to come to India and start the whole cycle again ?

P.S: Not a political qstn, Just want to be informed!",['#lockdown']
12,1.25E+18,1.25E+18,1.59E+12,17-04-2020,"With a view to mitigate hardship to policyholders whose health & motor (third party) insurance policies are due for renewal during COVID-19 lockdown, Govt. has issued notification allowing policyholders to make payments on or before 15.05.2020 towards renewal of their policies.",[]
13,1.25E+18,1.25E+18,1.59E+12,17-04-2020,"जी अच्छा फरमाया आपने
15 मार्च से जब तक सरकार गिरा के शपथ नहीं  लिए तब तक विधायक को तोड़ने खरीदने और सरकार गठन  के चक्कर में आप और मोदी जी देश को covid-19 के लिए झोक दिए 
Lockdown or planning dono me bahut der Kar diye",[]
14,1.25E+18,1.25E+18,1.59E+12,16-04-2020,The WHO and the whole world agrees with lockdown as a way to reduce spread of COVID 19. Only Mr Rahul Gandhi doesn’t? Is he a genius or plain ?  https://twitter.com/RahulGandhi/status/1250685696861339650 …,[]
15,1.25E+18,1.25E+18,1.59E+12,16-04-2020,Isn't it pragmatic to test community sewage and if positive followed by pool testing (5 or more pooled into single test result) before declaring a region as COVID free prior to relaxing lockdown specific in that tested zone?!,[]
16,1.25E+18,1.25E+18,1.59E+12,16-04-2020,"It demotivates you to read book when you find more than 25 unknown words for you, just in first 5 pages! 
I wonder if i am that poor one in language or choosed the wrong book to read! 

#bookread #lockdown #Nepal #Covid_19","['#bookread', '#lockdown', '#nepal', '#covid_19']"
17,1.25E+18,1.25E+18,1.59E+12,16-04-2020,Sir I want to give a one suggestion to you and your government..is that..agr 2 vehicles ki ava jahi pr rok lga di jye to bohot faida hoga lockdown ka or Covid-19 se ladne me kyoki 2 vehicles me social distancing ka palan nahi hota or hmare desh me 75% logo ke pass 2 vehicles he..,[]
18,1.25E+18,1.25E+18,1.59E+12,16-04-2020,"Maah-e-Ramzan Me Ashya-e-Zarooria Ki Talab or Rasad Par Gehri Nazar Rakhi Jaye, Smuggling Ki Muassar Rok Tham K Liye Pur Azam Hain, PM Imran Khan
*
#Ramadan Ka Aghaz Kis Date Ko Hoga?
Mukammal Falkiati Tehqiq
Video

 https://youtu.be/4zVqIy4UaF4 
#Covid_19
#lockdown
#ImranKhan #Corona","['#ramadan', '#covid_19', '#lockdown', '#imrankhan', '#corona']"
19,1.25E+18,1.25E+18,1.59E+12,16-04-2020,Due to COVID-19 Lockdown it's become difficult to run the website due to paucity of fund we request our well wishers to donate us through the Donate option of our website or you can donate online through UPI virtual payment  pic.twitter.com/ztWeTTjWm5,[]
20,1.25E+18,1.25E+18,1.59E+12,16-04-2020,Then he would have been behind the bars or he was would be facing suitable law action this is not fair if India runs on Constitution or equality & if @BJP4India is not biased then take action #coronavirus #Covid_19 #Corona #lockdown #NoPoliticsOnCorona,"['#coronavirus', '#covid_19', '#corona', '#lockdown', '#nopoliticsoncorona']"
21,1.25E+18,1.25E+18,1.59E+12,16-04-2020,"Don't you think Delhi people are having hard time following law and order rather than Maharashtra or any other state.
#Covid_19 #lockdown","['#covid_19', '#lockdown']"
22,1.25E+18,1.25E+18,1.59E+12,16-04-2020,"With the rapid increase in #coronavirus positive cases in #Ahmedabad, be extra cautious while visiting malls or departmental stores. 
#MirrorCheck 

To read in detail click the below link:
 https://ahmedabadmirror.indiatimes.com/ahmedabad/cover-story/heres-why-you-must-be-extra-careful-shopping-for-groceries/articleshow/75131245.cms …
#lockdown #COVID #COVID19 #Covid_19 #BeSafe pic.twitter.com/ff8X7OTe2s","['#coronavirus', '#ahmedabad', '#mirrorcheck', '#lockdown', '#covid', '#covid19', '#covid_19', '#besafe']"
23,1.25E+18,1.25E+18,1.59E+12,16-04-2020,@IamSumanDe more than 21 days have passed since March 25 & 7 days after incubation period. how many of the stranded people have shown symptoms or tested +be? We r fighting for lockdown or against covid? can't they be sent to home now? what they're crying ,[]
24,1.25E+18,1.25E+18,1.59E+12,16-04-2020,@ravishndtv more than 21 days have passed since March 25 & 7 days after incubation period. how many of the stranded people have shown symptoms or tested +ve? We r fighting for lockdown or covid? can't they be sent to home now? what they r crying for.,[]
25,1.25E+18,1.25E+18,1.59E+12,16-04-2020,@RahulGandhi More than 21 days have passed since March 25 & 7 days after incubation period. How many of the stranded have shown symptoms or tested +be? We r fighting for lockdown or against covid? can't they be sent to home now? what they r crying for.,[]
26,1.25E+18,1.25E+18,1.59E+12,16-04-2020,"During last 24 Hours  #Edhi Foundation #Covid_19 team has shifted 15 dead bodies from IndusHospital, JinahHospital & DowOjhaHospital to Edhi mortuary or different graveyards of #Karachi for burial.
#lockdown","['#edhi', '#covid_19', '#karachi', '#lockdown']"
27,1.25E+18,1.25E+18,1.59E+12,16-04-2020,"Covid-19 lockdown: 90% of migrant workers got no help from government or employers, shows survey  https://scroll.in/latest/959271/covid-19-lockdown-90-migrant-workers-received-no-help-from-government-or-employers-shows-survey … via @scroll_in",[]
28,1.25E+18,1.25E+18,1.59E+12,16-04-2020,"Covid-19 lockdown: 90% of migrant workers got no help from government or employers, shows survey  https://scroll.in/latest/959271/covid-19-lockdown-90-migrant-workers-received-no-help-from-government-or-employers-shows-survey … via @scroll_in",[]
29,1.25E+18,1.25E+18,1.59E+12,16-04-2020,"@PMOIndia @drharshvardhan @CMOMaharashtra @mybmc @AUThackeray @mybmcHealthDept India CAN follow suit. Increase TESTING OF #Covid_19 like #Germany IT IS NOW OR NEVER. IT IS TIME. #WarAgainstVirus #coronavirus 
Germany to relax coronavirus lockdown measures","['#covid_19', '#germany', '#waragainstvirus', '#coronavirus']"
30,1.25E+18,1.25E+18,1.59E+12,16-04-2020,"With a view to mitigate hardship to policyholders whose health & motor (third party) insurance policies are due for renewal during COVID-19 lockdown, Govt. has issued notification allowing policyholders to make payments on or before 15.05.2020 towards renewal of their policies.  pic.twitter.com/fjQ9IKWZsq",[]
31,1.25E+18,1.25E+18,1.59E+12,16-04-2020,"Unkempt hair, stubble and side whiskers going bonkers. COVID lockdown surely transformed me into a grizzly bear munching everything handy. Lockdown has its downsides — surely. Either going bald tomorrow or cutting my own hair if nothing turns out.",[]
32,1.25E+18,1.25E+18,1.59E+12,16-04-2020,"Sir, this time you have condemned in very less words.
Is there any specific reason behind it or the incident is not favourable for you to express more ?

#Muradabad #मुरादाबाद #coronavirus #Covid_19 #Corona #lockdown","['#muradabad', '#मुरादाबाद', '#coronavirus', '#covid_19', '#corona', '#lockdown']"
33,1.25E+18,1.25E+18,1.59E+12,16-04-2020,"Chutiye

Bade Chutiye

Phir aate hai wo jo #lockdown ke time p challenges or dares wala chutiyaapa kar rahe hai...

#iPhone8 #iPhoneSE #Muradabad #MUFC #A13bionic #coronavirusindia #China #CoronavirusLockdown #Covid_19 #COVID19 #CoronavirusOutbreakindia #CoronaUpdatesInIndia","['#lockdown', '#iphone8', '#iphonese', '#muradabad', '#mufc', '#a13bionic', '#coronavirusindia', '#china', '#coronaviruslockdown', '#covid_19', '#covid19', '#coronavirusoutbreakindia', '#coronaupdatesinindia']"
34,1.25E+18,1.25E+18,1.59E+12,16-04-2020,"What is Pakistan's response to COVID-19 pandemic? Each man for himself? In the absence of limited testing, how will the Government assess the success or failure of its policy of lifting the lockdown?",[]
35,1.25E+18,1.25E+18,1.59E+12,16-04-2020,"All I see Arsenal supporters doing day in and day out, football or no football, PL or CL is talk about the unbeaten season and reminisce about bygone players or celebrate one pass in 20 matches from their most highly paid player. #arsenal #chelsea #football #covid #lockdown","['#arsenal', '#chelsea', '#football', '#covid', '#lockdown']"
36,1.25E+18,1.25E+18,1.59E+12,15-04-2020,I request to Maha. gov. ( Covid -19)  Issues in IND. With Mum. City Suff. lock down sechuvation & all shut down Comp. With all indus but gov.full confidence he side we are provided free of Rason any Rason Card or Aadhar Card per person 5 kg per month but  pic.twitter.com/aJvIAmT3gr – at Link road malad,[]
37,1.25E+18,1.25E+18,1.59E+12,15-04-2020,"#Lockdown Me Juzwi Narmi, #Karachi Samait Mulk Bhar Me Mutadid Dukanen or Karobar Khul Gaye
*
MQM Rehnuma Amir Khan 17 Saal Bad Qatal Case Se Bari
*
Rizq-e-Halal K Liye Khas Tuhfa,
Ramzan Ki Chand Raat Ye Amal Karen.
Video
 https://youtu.be/0cxbCX4uMLE 
#Lockdown2 #lockdown #Covid_19","['#lockdown', '#karachi', '#lockdown2', '#lockdown', '#covid_19']"
38,1.25E+18,1.25E+18,1.59E+12,15-04-2020,"CM Sindh: Severe Lockdown for the next 14 days.We won’t allow electricians, plumbers,tailors & barbers to open their shops. We have said no to Auto Mobl industry too. In the end, he requested citizens to stay home and do not go out unnecessarily or COVID-19 may hit Karachi badly.",[]
39,1.25E+18,1.25E+18,1.59E+12,15-04-2020,"Wearing masks in public& workplaces have been made mandatory while a“strict” prohibition of the sale of liquor,gutka,tobacco,and spitting has been imposed in the extended leg of COVID-19 lockdown with the govtt.warning that violators will face a jail term up to 2years or fine.",[]
40,1.25E+18,1.25E+18,1.59E+12,15-04-2020,Due to COVID-19 Lockdown it's become difficult to run the website due to paucity of fund we request our well wishers to donate us through the Donate option of our website or you can donate online through UPI virtual payment  pic.twitter.com/KPACKWe6hd,[]
41,1.25E+18,1.25E+18,1.59E+12,15-04-2020,The foremost thing government should be doing is roll out a special plan for farmers and its logistics so that there is no food crisis post covid lockdown or during the lockdown. There are lot of measures being taken but still a lot pending. @NITIAayog @PMOIndia,[]
42,1.25E+18,1.25E+18,1.59E+12,15-04-2020,@narendramodi no lock down or shut down but seal down. Only 15 days is sufficient to eradicate covid-19 from India's sky. Only all officers should be strictly n sincerely active n energetic in this case. If I have any facility to discuss about it will be ,[]
43,1.25E+18,1.25E+18,1.59E+12,15-04-2020,"*If the thoughtless people continue to lockdown, they will die of hunger before COVIL CORONAVIRUS COVID-19 ! Only and only COVID-19 tests should be done, and those who are positive in the test should be kept in confinement or Hospitalized.
@un @WhiteHouse @realDonaldTrump https://twitter.com/WeTooHumanEarth/status/1250330779348951047 …",[]
44,1.25E+18,1.25E+18,1.59E+12,15-04-2020,"Epiphany- If you are in lockdown, with less variables in your life than before, monotony can set in more easily. Watching a TV show or reading a book can give a sense of progress and passage of time forward. #methink #Covid_19 #LockdownExtended","['#methink', '#covid_19', '#lockdownextended']"
45,1.25E+18,1.25E+18,1.59E+12,14-04-2020,"COVID-19 respects none - religion or race; rich or poor. There being no proven medicine nor vaccine yet, social distancing is the only option. Stricter the adherence to Lockdown norms, better the chances of saving lives. Violation is invitation to catastrophe! @MediaMattersZA .",[]
46,1.25E+18,1.25E+18,1.59E+12,14-04-2020,"Dreaming of a yummy mango milkshake and or aamras amidst this crazy Work from home schedule and lockdown! Who else is working from home? #foodiesofindia #mango #homemade #summer #covid #mumbai @ Mumbai, Maharashtra  https://www.instagram.com/p/B-9rkAvJbsG/?igshid=1huilull5e2vt …","['#foodiesofindia', '#mango', '#homemade', '#summer', '#covid', '#mumbai']"
47,1.25E+18,1.25E+18,1.59E+12,14-04-2020,I can only imagine that these elderly patients possibly had Chronic diseases and were Covid 19 negative. How much is that of Lockdown or no home help etc could be definitely looked at.,[]
48,1.25E+18,1.25E+18,1.59E+12,14-04-2020,"Kendra sarkar ki chuk, Khufiya agency's ki nakami, or Delhi police ki lalach v laparvahi evm tabligi Jamatiyo k karan bda covid-19 k chalte hue lockdown ab 19din bda,bina fse logoko unke ghr tk pahichaye bger, logoka hujum pedal chalneko hoga mjbur halaki ghrpr rehkr safety jruri",[]
49,1.25E+18,1.25E+18,1.59E+12,14-04-2020,"KEY TAKEAWAYS from our webinar on 'Holistic Management of Health & Wellness during & after Covid-19 Lockdown’➖
.
▪️While there was a holiday mood initially, after a week or so, many ppl consciously/subconsciously…  https://www.instagram.com/p/B-89igCnUn0/?igshid=1lihv5qa5s6us …",[]
50,1.25E+18,1.25E+18,1.59E+12,14-04-2020,"Country like ours, the only way to fight COVID -19, social distance by way of Pan Lockdown we don't have enough medical resources to deal the cases if  goes up, but it is duty of every state or UT to decide how fast they can give relief to their people as PM already mention",[]
51,1.25E+18,1.25E+18,1.59E+12,14-04-2020,I wonder why all the @BJP4India supporters praises @PMOIndia Shri @narendramodi Ji & the rest look for the loop holes in his each public address or move ? Isn’t it a time where entire nations should stand as one to fight #Covid_19 ? Opposition must unite & bounce back. #lockdown,"['#covid_19', '#lockdown']"
52,1.25E+18,1.25E+18,1.59E+12,14-04-2020,Shall not criticise or find fault with #SoniaGandhi’s message. It is good that at least on the 21st day of #lockdown - Congress has tried to reach out to the nation instead of simply finding fault with the government. That was gracious of @INCIndia President. #Covid_19,"['#soniagandhi', '#lockdown', '#covid_19']"
53,1.25E+18,1.25E+18,1.59E+12,14-04-2020,"Respected Sir's
Any offer for police volunteers in the Covid-19 pandemic & the lockdown, Im interested to join as a volunteer in police department near by tolichowki area ,so I will be here for helping in need or any duty as volunteers. @CPHydCity @KTRTRS",[]
54,1.25E+18,1.25E+18,1.59E+12,13-04-2020,"Mumbai 13th April #Covid_19 Cases 1549 Casualties 💯, @mybmc @MumbaiPolice @DGPMaharashtra @CMOMaharashtra what are you waiting for ? Pls apply night curfew 7pm to 7am, Day Time Proper lockdown with restricted movement, Once or Twice a week Full 24hrs curfew #Mumbai #Maharashtra","['#covid_19', '#mumbai', '#maharashtra']"
55,1.25E+18,1.25E+18,1.59E+12,13-04-2020,"@miSSboltoy , @miprakashbhau , @mybmcWardMW @MumbaiPolice 
We have taken safety & precautionary measures in our society to fight against COVID'19. We need help in certain situation wherein some unethical personality may be misbehave or non-cooperating to ",[]
56,1.25E+18,1.25E+18,1.59E+12,13-04-2020,"@PMNarendraModi_ Agra model of lock down should be hollowed. Long distance travel should be in lock down  Home or out of the country. 
All cities and towns should be in lock down as all covid cases in urban areas. 
No Cases  Covid in villages. 
Villages l",[]
57,1.25E+18,1.25E+18,1.59E+12,13-04-2020,"@PMNarendraModi_ Agra model of lock down if to be followed. Long distance travel is restricted. Covid is mainly in all or activities or towns. 
Covid if not heard in villages. Villages should be relaxed lock down.",[]
58,1.25E+18,1.25E+18,1.59E+12,13-04-2020,"If tomorrow modi ji announce a lockdown 2 till 30 April.
Then you are with modi ji or not .
Say yes or No.
#NarendraModi
#coronavirus #COVID2019 #COVID
#Lockdownextention","['#narendramodi', '#coronavirus', '#covid2019', '#covid', '#lockdownextention']"
59,1.25E+18,1.25E+18,1.59E+12,13-04-2020,"@ArvindKejriwal @msisodia @DelhiparentsDPA please let us know,  the adjustment of School fee, which already paid to schools for the month of March and April 2020. Due to lockdown or Covid 19, Kids was not attend a single day in School. 
Please share the s",[]
60,1.25E+18,1.25E+18,1.59E+12,13-04-2020,"Hii guys... 
 
   Hlo guys 14--April suba 10.00AM ko modi ji news pr live aayenge Or covid_19 ke bare m bat karnge ki lockdown kab khulega",[]
61,1.25E+18,1.25E+18,1.59E+12,13-04-2020,"Zone system lock down is very good. Agra system is good. All cities, and long distances (Home) shouldn't be opened . No villages covid patient found . All in cities and long distance (home or out) are patient.",[]
62,1.25E+18,1.25E+18,1.59E+12,13-04-2020,"@PMOIndia @narendramodi @MoHFW_INDIA

Any decision to lift or continue with lockdown should keep in mind that many large states like UP, MP, WB, Odisha, Bihar, Gujarat have very low rate of Covid testing. 
Experts say testing and more testing is the only ",[]
63,1.25E+18,1.25E+18,1.59E+12,13-04-2020,Rubbish. You have no data pre or post #lockdown so no way to justify lockdown extension. This is all #conjecture and dodgy statistical #modeling based on #premise not #fact arrived from testing. #confirmationbias #babudom #trust #credibility #Covid_19india,"['#lockdown', '#conjecture', '#modeling', '#premise', '#fact', '#confirmationbias', '#babudom', '#trust', '#credibility', '#covid_19india']"
64,1.25E+18,1.25E+18,1.59E+12,13-04-2020,"Ministry of labour and employment advisory:
The Union Labour and Employment Ministry has been reaching out to employers, both the public and the private sector, asking them not to lay off workers or cut salaries due to the ongoing lockdown owing to COVID-19 outbreak.  pic.twitter.com/av36Mt8iYt",[]
65,1.25E+18,1.25E+18,1.59E+12,13-04-2020,"Doubling time, DT of Corona cases = 72 ÷ % daily or average daily increase of Covid cases.

% increase on 12.4.2020 was 8.9%.
So DT is 8.08 days.

Lockdown has improved doubling time from 4.2 days to 8.0 days.

Good news.

Full control as per WHO is Intraday increase < 0.3 %",[]
66,1.25E+18,1.25E+18,1.59E+12,13-04-2020,Anyone with leads on the next course of action by the government? Lockdown will continue till further notice or the offices/businesses are reopening? #coronavirusinpakistan #COVID__19 #CoronaUpdate #CoronaLockdown,"['#coronavirusinpakistan', '#covid__19', '#coronaupdate', '#coronalockdown']"
67,1.25E+18,1.25E+18,1.59E+12,13-04-2020,Mai lockdown me sabi ka entertainment kr rha hu stay at home rab ji sab kuch jaladi pehle jaisa kr do 🙏🏼🙏🏼sabi apna or apni family ka diyan rakhna god bless sab ko 🙏🏼🙏🏼🙏🏼#COVID__19 #HandstandChallenge #IndiaFightsCoronavirus #indiagives #IndiaTV #newstv pic.twitter.com/RCo6WBIN4N,"['#covid__19', '#handstandchallenge', '#indiafightscoronavirus', '#indiagives', '#indiatv', '#newstv']"
68,1.25E+18,1.25E+18,1.59E+12,12-04-2020,"Monthly home essentials are another expenditure to be taken care of.We thereby request you for some financial aid to thrive though this lockdown period Or if you lift the lockdown in those areas which don't have any Covid cases, it would be helpful too.",[]
69,1.25E+18,1.25E+18,1.59E+12,12-04-2020,"That's some serious warning...
Even @jaipur_police knows how good or how bad #Masakali 2.0 is 🤣
#lockdown #COVID__19 https://twitter.com/PTI_News/status/1249330784525156354 …","['#masakali', '#lockdown', '#covid__19']"
70,1.25E+18,1.25E+18,1.59E+12,12-04-2020,"Pakistan is stuck between the devil and the deep blue sea to rather choose starvation from #lockdown or the #coronavirus.

#PMImran #coronavirusinpakistan #Covid_19 #StayHome #StaySafe #COVID2019 #CoronaVirusUpdate #CoronavirusPandemic #SundayMotivation #SundayThoughts","['#lockdown', '#coronavirus', '#pmimran', '#coronavirusinpakistan', '#covid_19', '#stayhome', '#staysafe', '#covid2019', '#coronavirusupdate', '#coronaviruspandemic', '#sundaymotivation', '#sundaythoughts']"
71,1.25E+18,1.25E+18,1.59E+12,12-04-2020,"This lockdown has also made me think in terms of who are we actually fighting? The virus or is it our internal struggle with us? Forced to live with ourselves, we have to become friends with ourselves! Otherwise life is relentless! #Covid_19",['#covid_19']
72,1.25E+18,1.25E+18,1.59E+12,12-04-2020,Konkona again u r showing ur dumbness !! If anyone write factually incorrect article or quotes should they be penalised if they don’t apologise also? What’s so wrong in this? In name of Covid lockdown no one can perform irresponsible journalism!,[]
73,1.25E+18,1.25E+18,1.59E+12,12-04-2020,Such a blatant liar. Guess u we’re not taught months & dates in ur school.The Maha ShivRatri event was on 21st feb when there was no lockdown or janta curfew & much before the first warning of COvid 19. Whereas Tabligi event happened on 16th March & continued even post lockdown,[]
74,1.25E+18,1.25E+18,1.59E+12,12-04-2020,"Anyone in shimla who can make or shoot scenic drone vedios of this beautiful old town during the #COVID__19 lockdown?
As or may be, we will never be able to witness our place so tranquil and free of honking ever in our lives again.

कोई है शहर में या सब पहाड़ी गाँव चले गए ??",['#covid__19']
75,1.25E+18,1.25E+18,1.59E+12,12-04-2020,"#COVID_19
78% ppl in J&K who were tested positive fr #COVID19 had no symptoms like dry cough or fever. This is alarming. Only social distancing, strict adherence to lockdown & cntrl measures by d Govt cn prevent d spread f pandemic. Need to take mre precautions #BreakTheChain – at Karan Nagar","['#covid_19', '#covid19', '#breakthechain']"
76,1.25E+18,1.25E+18,1.59E+12,12-04-2020,"Companies are calling and saying will deduct the salary, it’s better to die due to CoVid- 19 not due to heart attacks or starvation 

#COVID__19 #lockdown #lockdownnz #21daylockdownSA","['#covid__19', '#lockdown', '#lockdownnz', '#21daylockdownsa']"
77,1.25E+18,1.25E+18,1.59E+12,12-04-2020,"Being a great fan of @narendramodi ji, I hope you understand what  he was meaning when he said 'जान भी और जहान भी'.

Complete #LockDown of whole nation or state is neither needed or desirable to fight #COVID__19. Strategic restriction have to be adopted.","['#lockdown', '#covid__19']"
78,1.25E+18,1.25E+18,1.59E+12,12-04-2020,Deputy Commissioner Sringar bans photography/videography while offering food or any other assistance to people in distress during Covid lockdown. Applicable to everyone including Govt/NGOs/individuals. Thanks @listenshahid Sir :) pic.twitter.com/pmJdBrGryE,[]
79,1.25E+18,1.25E+18,1.59E+12,12-04-2020,"What is your problem Surjewala? soldier died in covid-19? or parent travel by road? or a liye of payment to MLA . First thing first, u have only 'RIP' word for Brave soldier? 6i. For Parents  in lockdown u have put the requisition for chartered plan & not sent? U RIP moron.",[]
80,1.25E+18,1.25E+18,1.59E+12,12-04-2020,"Exactly #Covid is highly contagious and more fatal than those other flu and strains of viruses. Who knows its same or more dangerous than spanish flu but with technology connected world and faster lockdown helped to stop its spread and saving thousands of lives. 

N/1",['#covid']
81,1.25E+18,1.25E+18,1.59E+12,11-04-2020,"Is just extension in lockdown is sufficient or government should implement a full fledge curfew for 14 days instead of extending lockdown in a phase manner?
#COVID__19 #COVID19 #Corona @narendramodi @covid19indiaorg @vijayrupanibjp @ANI @ndtv @MoHFW_INDIA pic.twitter.com/K2EEVIAEGw","['#covid__19', '#covid19', '#corona']"
82,1.25E+18,1.25E+18,1.59E+12,11-04-2020,That's the new pass during lock down it can be a white shirt khaki shorts and a black cap or else RSS RELIEF on the vehicle you don't need COVID-19 pass or e pass I guess 🙏,[]
83,1.25E+18,1.25E+18,1.59E+12,11-04-2020,"@airvistara @IndiGo6E What makes me baffled is that you folks know that lockdown is extended till April-30 and u r still allowing people to book flights, so that u can block their money and revive or regain ur lost cash because of this covid-19 emergency.",[]
84,1.25E+18,1.25E+18,1.59E+12,11-04-2020,"@CMOPb My name is Ketan, I am from Ludhiana, Punjab studying MBA from Delhi University currently stuck due to lockdown in flat in Kamla Nagar, Delhi. Is there any process or way out so that i can reach my hometown Ludhiana. #COVID__19",['#covid__19']
85,1.25E+18,1.25E+18,1.59E+12,11-04-2020,"@DelhiPolice My name is Ketan, I am from Ludhiana, Punjab studying MBA from Delhi University currently stuck due to lockdown in flat in Kamla Nagar. Is there any process or way out so that i can reach my hometown Ludhiana. #COVID__19",['#covid__19']
86,1.25E+18,1.25E+18,1.59E+12,11-04-2020,"DC Srinagar bans photography during distribution of food packets

#SRINAGAR: DC Sringar @listenshahid bans photography/videography while offering food or any other assistance to people in distress during Covid lockdown.

Applicable to everyone including govt/NGOs/individuals  pic.twitter.com/ajNegozKiT",['#srinagar']
87,1.25E+18,1.25E+18,1.59E+12,11-04-2020,"@NitishKumar Good Eve Sir
Mai Swati Raj..Patna Bihar Se Aapse Ek Qus..Puchna chati hu.Covid-19 Ki wjh se is lockdown me Sarkar Se Gribo ko hi help Mil Parha H.Or Amiro Ka To Aram Hi H.Per hum middle wrgo ko koi help Nhi mil Parha h..Hm Is Hal me Bhukhe Mr",[]
88,1.25E+18,1.25E+18,1.59E+12,11-04-2020,"Incubation period for Covid-19 is 5-14 days. Today's corona cases in Jaipur Rajasthan clearly indicates the failure of Raj. Govt. in proper lockdown. Please Retweet/Like/Comment for agree or disagree. @aajtak
@ndtv @ABPNews @ZeeNews @1stIndiaNews @zeerajasthan_ @DainikBhaskar pic.twitter.com/jrsFT4Gvk1",[]
89,1.25E+18,1.25E+18,1.59E+12,11-04-2020,"Now or Never
This is just a start 
You Never Know What's is coming next
@zindagi_mashoor
#zindagi_mashoor
✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️
#lockdown #coronavirus #covid #hyderabad #money #time #food #noonehelps pic.twitter.com/wqwwZdEDzk","['#zindagi_mashoor', '#lockdown', '#coronavirus', '#covid', '#hyderabad', '#money', '#time', '#food', '#noonehelps']"
90,1.25E+18,1.25E+18,1.59E+12,11-04-2020,"##COVID-19 I would like to express my gratitude to all those with social responsibility. Especially Doctors, politicians, health minister,  police. Whether Lockdown continuing or not we are all have social responsibility hence could you please Stay Home! Be Safe 😊 Save people's",['#covid']
